tree->Scan("run:lumi:event", "bdt>0.91 & abs(cand_refit_tau_eta)<1.6 & (( ((abs(cand_refit_mass12-1.020)<0.02)*(cand_charge12==0)) + ((abs(cand_refit_mass13-1.020)<0.02)*(cand_charge13==0)) + ((abs(cand_refit_mass23-1.020)<0.02)*(cand_charge23==0)) )==0 & ( ((abs(cand_refit_mass12-0.782)<0.02)*(cand_charge12==0)) + ((abs(cand_refit_mass13-0.782)<0.02)*(cand_charge13==0)) + ((abs(cand_refit_mass23-0.782)<0.02)*(cand_charge23==0)) )==0 & abs(cand_charge)==1 & abs(cand_refit_tau_mass-1.8)<0.2& ((mu1_hlt_doublemu3_trk_tau3mu_type==83 & mu2_hlt_doublemu3_trk_tau3mu_type==83 & cand_mass12>0.5 & cand_mass12<1.7) |   (mu1_hlt_doublemu3_trk_tau3mu_type==83 & mu3_hlt_doublemu3_trk_tau3mu_type==83 & cand_mass13>0.5 & cand_mass13<1.7) |   (mu2_hlt_doublemu3_trk_tau3mu_type==83 & mu3_hlt_doublemu3_trk_tau3mu_type==83 & cand_mass23>0.5 & cand_mass23<1.7) ))", "colsize=20")
*********************************************************************************
*    Row   *                  run *                 lumi *                event *
*    39059 *                    1 *                11122 *            707857777 *
*    39694 *                    1 *                 7363 *           3311455884 *
*    40459 *                    1 *                42772 *           2059649769 *
*    41598 *                    1 *                 7997 *           3596516982 *
*    41881 *                    1 *                42703 *           2028931472 *
*    45426 *                    1 *                11400 *            832722253 *
*    45918 *                    1 *                17363 *           3514857028 *
*    46100 *                    1 *                17647 *           3642501436 *
*    46191 *                    1 *                22675 *           1609658051 *
*    48178 *                    1 *                22749 *           1642958723 *
*    48326 *                    1 *                 1898 *            853581562 *
*    48717 *                    1 *                22900 *           1710806829 *
*    52274 *                    1 *                44334 *           2762192608 *
*    53787 *                    1 *                  981 *            440877642 *
*    55411 *                    1 *                  863 *            387719441 *
*    56121 *                    1 *                13862 *           1940275277 *
*    57148 *                    1 *                12226 *           1204495451 *
*    57684 *                    1 *                12016 *           1110003848 *
*    57842 *                    1 *                17408 *           3534951339 *
*    58096 *                    1 *                12345 *           1258061744 *
*    62087 *                    1 *                 5377 *           2418228733 *
*    64103 *                    1 *                 7873 *           3541099021 *
*    67733 *                    1 *                29598 *            428801547 *
*    69625 *                    1 *                 4253 *           1912968300 *
*    73001 *                    1 *                 4333 *           1948711268 *
*    79900 *                    1 *                31416 *           1246662820 *
*    80689 *                    1 *                28349 *           4161534644 *
*    80822 *                    1 *                11187 *            736797923 *
*    81042 *                    1 *                 5645 *           2538598173 *
*    81527 *                    1 *                31030 *           1073130747 *
*    83553 *                    1 *                14219 *           2100748954 *
*    86248 *                    1 *                34257 *           2524366016 *
*    87824 *                    1 *                32469 *           1720333632 *
*    88316 *                    1 *                18499 *           4025653877 *
*    90179 *                    1 *                26691 *           3416053328 *
*    93594 *                    1 *                26767 *           3450285646 *
*    95685 *                    1 *                19026 *           4262681742 *
*    98031 *                    1 *                18764 *           4145133458 *
*    98036 *                    1 *                19019 *           4259726895 *
*    98586 *                    1 *                33705 *           2275983079 *
*    98939 *                    1 *                33149 *           2026268608 *
*   101445 *                    1 *                27929 *           3972553814 *
*   102447 *                    1 *                41917 *           1675144318 *
*   103398 *                    1 *                41339 *           1415162895 *
*   106620 *                    1 *                36598 *           3577188185 *
*   108456 *                    1 *                32767 *           1854491170 *
*   108579 *                    1 *                40072 *            845483752 *
*   108959 *                    1 *                40522 *           1047667600 *
*   111209 *                    1 *                41615 *           1539541477 *
*   114530 *                    1 *                40030 *            826511201 *
*   114826 *                    1 *                41004 *           1264723091 *
*   115400 *                    1 *                36771 *           3655401756 *
*   116308 *                    1 *                36402 *           3489246799 *
*   116598 *                    1 *                41476 *           1476807960 *
*   117370 *                    1 *                40143 *            877507017 *
*   123670 *                    1 *                23584 *           2018533898 *
*   124181 *                    1 *                13759 *           1893676001 *
*   125338 *                    1 *                16651 *           3194441001 *
*   126050 *                    1 *                 1539 *            692252656 *
*   126838 *                    1 *                22976 *           1745053052 *
*   131796 *                    1 *                12134 *           1163128065 *
*   133366 *                    1 *                 5027 *           2261099002 *
*   134376 *                    1 *                 2392 *           1075521078 *
*   134594 *                    1 *                 2629 *           1182292329 *
*   135738 *                    1 *                30190 *            695169371 *
*   141760 *                    1 *                30907 *           1017455683 *
*   142085 *                    1 *                 6469 *           2909649232 *
*   142447 *                    1 *                31647 *           1350505865 *
